OBJECTID,NUEVOS_CASOS,TOTAL_CASOS,TOTAL_MUERTES,TOTAL_RECUPERADOS,FECHA_ACTUALIZACION,GlobalID,NUEVOS_MUERTOS,NUEVO_RECUPERADOS
612,640,8613,378,2013,2020/05/05 05:00:00+00,b965ac06-f26e-474a-afbe-4021f6a85e27,20,206
613,346,8959,397,2148,2020/05/06 05:00:00+00,1ecdf5b9-cc55-4dc5-b604-47b51567c404,19,135
614,497,9456,407,2300,2020/05/07 05:00:00+00,f37ea2f5-afc1-49eb-9f6d-21d9d8d3ad7e,10,152
615,595,10051,428,2424,2020/05/08 05:00:00+00,c2679310-4709-480b-bd4f-2f30b7c50948,21,124
616,444,10495,445,2569,2020/05/09 05:00:00+00,bda8ba93-3c3b-451f-b9c8-6230fcd9adab,17,145
617,568,11063,463,2705,2020/05/10 05:00:00+00,4bb74068-1ce8-4713-8640-14c38b510eca,18,136
618,550,11613,479,2825,2020/05/11 05:00:00+00,e6a9424f-c27f-47c3-9a45-fff535121b00,16,120
619,659,12272,493,2971,2020/05/12 05:00:00+00,ce3a91a9-1fad-4276-b6a9-992d5f15cc10,14,146
620,658,12930,509,3133,2020/05/13 05:00:00+00,08bd2bda-535a-435f-834d-b4d1d3eaf0e6,16,162
621,680,13610,525,3358,2020/05/14 05:00:00+00,754b332e-1885-469f-b53b-931023552e74,16,225
622,606,14216,546,3460,2020/05/15 05:00:00+00,758ca9d8-3014-4d24-a2f4-dfbd710f5135,21,102
623,723,14939,562,3587,2020/05/16 05:00:00+00,da2f1b83-20ef-4837-9400-4ad505a15094,16,127
624,635,15574,574,3751,2020/05/17 05:00:00+00,38b412de-81f9-4173-a621-361a496f4b5f,12,164
625,721,16295,592,3903,2020/05/18 05:00:00+00,612a2a5a-924d-4df0-a594-ac78d6f782b2,18,152
626,640,16935,613,4050,2020/05/19 05:00:00+00,5b736257-c51a-42bd-9ce5-cefae8f05544,21,147
627,752,17687,630,4256,2020/05/20 05:00:00+00,662387c3-e2f4-481c-b055-7ec9494b8f6c,17,206
628,643,18330,652,4431,2020/05/21 05:00:00+00,8b42ad6d-e916-48f7-a166-77d5f52d0c59,22,175
629,801,19131,682,4575,2020/05/22 05:00:00+00,3a33563b-4850-4143-8dc3-9b77b4e13f4e,30,144
630,1046,20177,705,4718,2020/05/23 05:00:00+00,215772d5-88b4-4ac5-813b-61ddf725c7a5,23,143
631,998,21175,727,5016,2020/05/24 05:00:00+00,da6dc426-ab05-4979-8afb-0d240e757c3b,22,298
632,806,21981,750,5265,2020/05/25 05:00:00+00,f4e692cf-a866-400e-9784-a067fe70f73e,23,249
633,1022,23003,776,5511,2020/05/26 05:00:00+00,03d375cc-4a5d-493a-83f3-60cfb73bb27c,26,246
634,1101,24104,803,6111,2020/05/27 05:00:00+00,4274f78c-c2bf-4188-bf6e-2e52e9992ba6,27,600
635,1262,25366,822,6665,2020/05/28 05:00:00+00,fc8b6d38-ce9a-4612-945b-ed4675d4908e,19,554
636,1322,26688,853,6913,2020/05/29 05:00:00+00,fd52acbc-8671-43d3-bdd6-fb3705eb0229,31,248
637,1548,28236,890,7121,2020/05/30 05:00:00+00,784d0f1d-6e69-48ae-9793-3228496807e4,37,208
638,1147,29383,939,8543,2020/05/31 05:00:00+00,32ae9adb-8e87-4f7d-b809-9cef8a4b470b,49,1422
639,1110,30493,969,9661,2020/06/01 05:00:00+00,22768ddb-d62d-4663-a5ed-9347cd67da03,30,1118
640,1340,31833,1009,11142,2020/06/02 05:00:00+00,61683c39-b0cf-4576-94aa-3bbe0f4f416e,40,1481
641,1521,33354,1045,12288,2020/06/03 05:00:00+00,c6af6119-a212-4aa2-b6c9-75623ac325a9,36,1146
642,1766,35120,1087,12921,2020/06/04 05:00:00+00,a048b69e-eb5c-496e-9dcf-1e3cfbc917f2,42,633
643,1515,36635,1145,13638,2020/06/05 05:00:00+00,1c71bc63-b2e5-4b88-99a3-f36c1d1e8918,58,717
644,1392,38027,1205,14382,2020/06/06 05:00:00+00,40cddd53-e9ed-4d32-8d33-43cd6a9ef491,60,744
645,1209,39236,1259,15322,2020/06/07 05:00:00+00,65e0a075-6b87-47c7-b31c-ddaf9de3473f,54,940
646,1483,40719,1308,16427,2020/06/08 05:00:00+00,30c6aa0a-1690-4299-b6e2-374bf481cc43,49,1105
647,1359,42078,1372,16534,2020/06/09 05:00:00+00,525185af-64f1-47c0-964c-48992149dbfa,64,107
648,1604,43682,1433,17333,2020/06/10 05:00:00+00,10b59642-d768-4587-bfa1-885ef8a5cedc,61,799
649,1530,45212,1488,17790,2020/06/11 05:00:00+00,521be060-ae68-4776-896a-f1ca71aa9a45,55,457
650,1646,46858,1545,18715,2020/06/12 05:00:00+00,0e0084da-a1c1-415e-9ef4-08e8bbe1d133,57,925
651,1888,48746,1592,19426,2020/06/13 05:00:00+00,359444f8-a68e-4a6f-bbfe-edda3718bf1e,47,711
652,2193,50939,1667,19822,2020/06/14 05:00:00+00,933350ab-bc4e-4044-9adc-dd3aebe6ed89,75,396
653,2124,53063,1726,19952,2020/06/15 05:00:00+00,0597b877-d149-4645-ad65-388558bea5a9,59,130
654,1868,54931,1801,20366,2020/06/16 05:00:00+00,d1363161-c341-4901-8db0-6c19908c6f2a,75,414
655,2115,57046,1864,21326,2020/06/17 05:00:00+00,bfcc7d16-43c1-426a-889a-c47f137cda47,63,960
